from_to,total_length_mi,avg_curv_speed_mph
0::Los Angeles-Long Beach-Anaheim--San Diego-Chula Vista-Carlsbad,117.74248277434725,129.63549564656898
10::New York-Newark-Jersey City--Albany-Schenectady-Troy,153.6938720360513,123.28566568909669
11::Austin-Round Rock-San Marcos--Houston-Pasadena-The Woodlands,188.70988127415774,130.50079440834992
12::Chicago-Naperville-Elgin--Indianapolis-Carmel-Greenwood,195.3384374203933,140.17183792129106
13::Reading--New York-Newark-Jersey City,128.1740885217568,126.80432534433751
14::Detroit-Warren-Dearborn--Chicago-Naperville-Elgin,282.13155187911866,132.35034654412445
15::New York-Newark-Jersey City--Worcester,187.28556205727227,121.34595048896674
16::Dallas-Fort Worth-Arlington--Austin-Round Rock-San Marcos,206.73022756889867,134.50308767875185
17::Chicago-Naperville-Elgin--Grand Rapids-Wyoming-Kentwood,177.49464426462288,136.14278806137315
18::New York-Newark-Jersey City--Lancaster,147.75452551374386,131.92078363048262
19::New York-Newark-Jersey City--Springfield,137.468292932542,122.09633049371973
1::New York-Newark-Jersey City--Washington-Arlington-Alexandria,224.42903592882718,130.5570273606358
20::San Antonio-New Braunfels--Houston-Pasadena-The Woodlands,213.0167324036027,139.10152135146237
21::Las Vegas-Henderson-North Las Vegas--Los Angeles-Long Beach-Anaheim,319.49086235476875,131.25317913594006
22::Tampa-St. Petersburg-Clearwater--Miami-Fort Lauderdale-West Palm Beach,243.9836568866749,142.04950214240927
23::Seattle-Tacoma-Bellevue--Portland-Vancouver-Hillsboro,176.12721770349154,124.98262149129299
24::Orlando-Kissimmee-Sanford--Miami-Fort Lauderdale-West Palm Beach,240.18348989990739,141.52603690480709
25::San Francisco-Oakland-Fremont--Los Angeles-Long Beach-Anaheim,460.2343062966305,126.73281123223627
26::Virginia Beach-Chesapeake-Norfolk--Washington-Arlington-Alexandria,218.8284330354249,134.65227530181747
27::Phoenix-Mesa-Chandler--Los Angeles-Long Beach-Anaheim,427.7358425228908,137.42587764539894
28::Harrisburg-Carlisle--New York-Newark-Jersey City,180.7112037524984,127.81430136698015
29::Pittsburgh--New York-Newark-Jersey City,416.93973845980497,120.3762629971651
2::New York-Newark-Jersey City--Boston-Cambridge-Newton,225.52194856265044,124.40604488582566
30::Los Angeles-Long Beach-Anaheim--Santa Maria-Santa Barbara,116.85712977947362,126.26188047316778
31::Madison--Chicago-Naperville-Elgin,134.842239381664,135.69786141775364
32::New York-Newark-Jersey City--Norwich-New London-Willimantic,134.21860531552403,118.44456829752879
33::Philadelphia-Camden-Wilmington--Boston-Cambridge-Newton,305.9709321256355,126.85234544114523
34::Pittsburgh--Washington-Arlington-Alexandria,275.9359166140769,102.81325397821104
35::Phoenix-Mesa-Chandler--Tucson,118.82970376200447,142.7201878361708
36::New York-Newark-Jersey City--Virginia Beach-Chesapeake-Norfolk,345.9085266016393,139.6477966657011
37::Pittsburgh--Cleveland,129.5322076573578,132.86093947120494
38::Chicago-Naperville-Elgin--St. Louis,272.1637730011397,141.57964689109883
39::Birmingham--Atlanta-Sandy Springs-Roswell,151.23241531334713,105.86601832500784
3::Philadelphia-Camden-Wilmington--Washington-Arlington-Alexandria,137.8567531045968,132.69662255794023
40::Philadelphia-Camden-Wilmington--Bridgeport-Stamford-Danbury,133.43116518944265,129.96346591666085
41::Atlanta-Sandy Springs-Roswell--Nashville-Davidson--Murfreesboro--Franklin,243.77843758604172,118.10781078380509
42::New York-Newark-Jersey City--York-Hanover,181.44152251550983,128.8319770260123
43::Cape Coral-Fort Myers--Miami-Fort Lauderdale-West Palm Beach,317.71176482122314,142.2053435120688
44::San Antonio-New Braunfels--Dallas-Fort Worth-Arlington,282.99789243809533,134.4401253778365
45::Los Angeles-Long Beach-Anaheim--Fresno,645.2496311427728,130.34929863551366
46::Detroit-Warren-Dearborn--New York-Newark-Jersey City,650.7248415622314,127.94320707263827
47::Atlanta-Sandy Springs-Roswell--Charlotte-Concord-Gastonia,242.8243879467736,107.36995643869685
